epoch,step,test_f1,test_iou,test_loss,train_f1,train_iou,train_loss_epoch,train_loss_step,valid_f1,valid_iou,valid_loss
0,9,,,,,,,0.9387854337692261,,,
0,19,,,,,,,0.820267379283905,,,
0,29,,,,,,,0.7164502143859863,,,
0,39,,,,,,,0.6646703481674194,,,
0,49,,,,,,,0.5798512101173401,,,
0,59,,,,,,,0.5332812070846558,,,
0,69,,,,,,,0.5110002756118774,,,
0,79,,,,,,,0.4423588812351227,,,
0,89,,,,,,,0.4012313783168793,,,
0,99,,,,,,,0.2904035747051239,,,
0,109,,,,,,,0.3614925742149353,,,
0,119,,,,,,,0.29936110973358154,,,
0,129,,,,,,,0.33933424949645996,,,
0,139,,,,,,,0.2726559638977051,,,
0,149,,,,,,,0.26101934909820557,,,
0,159,,,,,,,0.28797173500061035,,,
0,169,,,,,,,0.27469173073768616,,,
0,179,,,,,,,0.2584441304206848,,,
0,189,,,,,,,0.4303116798400879,,,
0,199,,,,,,,0.3525436520576477,,,
0,209,,,,,,,0.3395690619945526,,,
0,219,,,,,,,0.2824386954307556,,,
0,229,,,,,,,0.24385812878608704,,,
0,239,,,,,,,0.27388814091682434,,,
0,249,,,,,,,0.22692131996154785,,,
0,257,,,,,,,,0.938849925994873,0.8855286240577698,0.23369663953781128
0,257,,,,0.8693929314613342,0.7912309169769287,0.4159824252128601,,,,
1,259,,,,,,,0.274246484041214,,,
1,269,,,,,,,0.181593120098114,,,
1,279,,,,,,,0.257794052362442,,,
1,289,,,,,,,0.1570536196231842,,,
1,299,,,,,,,0.1864921599626541,,,
1,309,,,,,,,0.13767312467098236,,,
1,319,,,,,,,0.21754595637321472,,,
1,329,,,,,,,0.14729133248329163,,,
1,339,,,,,,,0.23370817303657532,,,
1,349,,,,,,,0.2729409337043762,,,
1,359,,,,,,,0.14964890480041504,,,
1,369,,,,,,,0.6214828491210938,,,
1,379,,,,,,,0.1517203152179718,,,
1,389,,,,,,,0.1587546020746231,,,
1,399,,,,,,,0.12346858531236649,,,
1,409,,,,,,,0.16394415497779846,,,
1,419,,,,,,,0.1712210327386856,,,
1,429,,,,,,,0.1741504669189453,,,
1,439,,,,,,,0.26424360275268555,,,
1,449,,,,,,,0.11432193964719772,,,
1,459,,,,,,,0.1468270719051361,,,
1,469,,,,,,,0.13480325043201447,,,
1,479,,,,,,,0.1529158353805542,,,
1,489,,,,,,,0.12849825620651245,,,
1,499,,,,,,,0.1447770893573761,,,
1,509,,,,,,,0.14353284239768982,,,
1,515,,,,,,,,0.9485105872154236,0.9026607275009155,0.18234804272651672
1,515,,,,0.9487775564193726,0.9035730957984924,0.18658800423145294,,,,
2,519,,,,,,,0.12183302640914917,,,
2,529,,,,,,,0.13523554801940918,,,
2,539,,,,,,,0.16142255067825317,,,
2,549,,,,,,,0.1282028704881668,,,
2,559,,,,,,,0.1797884851694107,,,
2,569,,,,,,,0.128642275929451,,,
2,579,,,,,,,0.10725440084934235,,,
2,589,,,,,,,0.16044773161411285,,,
2,599,,,,,,,0.1509808599948883,,,
2,609,,,,,,,0.11592622846364975,,,
2,619,,,,,,,0.13291171193122864,,,
2,629,,,,,,,0.12576645612716675,,,
2,639,,,,,,,0.13623294234275818,,,
2,649,,,,,,,0.16585174202919006,,,
2,659,,,,,,,0.11173538863658905,,,
2,669,,,,,,,0.09576278924942017,,,
2,679,,,,,,,0.11735207587480545,,,
2,689,,,,,,,0.1485517919063568,,,
2,699,,,,,,,0.11552413552999496,,,
2,709,,,,,,,0.1037866622209549,,,
2,719,,,,,,,0.09456522762775421,,,
2,729,,,,,,,0.10845516622066498,,,
2,739,,,,,,,0.16885975003242493,,,
2,749,,,,,,,0.072899229824543,,,
2,759,,,,,,,0.08142012357711792,,,
2,769,,,,,,,0.1114504411816597,,,
2,773,,,,,,,,0.9509285688400269,0.9075821042060852,0.17586162686347961
2,773,,,,0.9617652893066406,0.9268187284469604,0.1373669058084488,,,,
3,779,,,,,,,0.16544148325920105,,,
3,789,,,,,,,0.08769582211971283,,,
3,799,,,,,,,0.09653575718402863,,,
3,809,,,,,,,0.34650951623916626,,,
3,819,,,,,,,0.16082699596881866,,,
3,829,,,,,,,0.15180638432502747,,,
3,839,,,,,,,0.10468416661024094,,,
3,849,,,,,,,0.10241520404815674,,,
3,859,,,,,,,0.1898631602525711,,,
3,869,,,,,,,0.08610562980175018,,,
3,879,,,,,,,0.09494147449731827,,,
3,889,,,,,,,0.09141163527965546,,,
3,899,,,,,,,0.09058844298124313,,,
3,909,,,,,,,0.10653051733970642,,,
3,919,,,,,,,0.0913841649889946,,,
3,929,,,,,,,0.12682001292705536,,,
3,939,,,,,,,0.08358266949653625,,,
3,949,,,,,,,0.08044467121362686,,,
3,959,,,,,,,0.09211339056491852,,,
3,969,,,,,,,0.0833500474691391,,,
3,979,,,,,,,0.09384724497795105,,,
3,989,,,,,,,0.08569306135177612,,,
3,999,,,,,,,0.10418975353240967,,,
3,1009,,,,,,,0.09520545601844788,,,
3,1019,,,,,,,0.11457548290491104,,,
3,1029,,,,,,,0.12674637138843536,,,
3,1031,,,,,,,,0.9513427019119263,0.9081699848175049,0.16526903212070465
3,1031,,,,0.9687986373901367,0.9398322701454163,0.10819175839424133,,,,
4,1039,,,,,,,0.07889173924922943,,,
4,1049,,,,,,,0.10699646174907684,,,
4,1059,,,,,,,0.1166389212012291,,,
4,1069,,,,,,,0.08692491054534912,,,
4,1079,,,,,,,0.08797268569469452,,,
4,1089,,,,,,,0.10402686148881912,,,
4,1099,,,,,,,0.08961062878370285,,,
4,1109,,,,,,,0.09225333482027054,,,
4,1119,,,,,,,0.11255428194999695,,,
4,1129,,,,,,,0.06298695504665375,,,
4,1139,,,,,,,0.10440544784069061,,,
4,1149,,,,,,,0.09618635475635529,,,
4,1159,,,,,,,0.09073928743600845,,,
4,1169,,,,,,,0.06142116338014603,,,
4,1179,,,,,,,0.08999168872833252,,,
4,1189,,,,,,,0.08639116585254669,,,
4,1199,,,,,,,0.06241026148200035,,,
4,1209,,,,,,,0.08938746899366379,,,
4,1219,,,,,,,0.08270182460546494,,,
4,1229,,,,,,,0.058637551963329315,,,
4,1239,,,,,,,0.07389196753501892,,,
4,1249,,,,,,,0.09786024689674377,,,
4,1259,,,,,,,0.08777788281440735,,,
4,1269,,,,,,,0.09859291464090347,,,
4,1279,,,,,,,0.06905893236398697,,,
4,1289,,,,,,,0.12338331341743469,,,
4,1289,,,,,,,,0.9536904692649841,0.9123886823654175,0.16120775043964386
4,1289,,,,0.9727228283882141,0.9472222924232483,0.09320052713155746,,,,
5,1299,,,,,,,0.057151563465595245,,,
5,1309,,,,,,,0.07468672841787338,,,
5,1319,,,,,,,0.07862278074026108,,,
5,1329,,,,,,,0.07189300656318665,,,
5,1339,,,,,,,0.08997566998004913,,,
5,1349,,,,,,,0.11189908534288406,,,
5,1359,,,,,,,0.07278735935688019,,,
5,1369,,,,,,,0.0827937051653862,,,
5,1379,,,,,,,0.10349544882774353,,,
5,1389,,,,,,,0.05272907763719559,,,
5,1399,,,,,,,0.08144170790910721,,,
5,1409,,,,,,,0.11805211007595062,,,
5,1419,,,,,,,0.08634570240974426,,,
5,1429,,,,,,,0.1408977508544922,,,
5,1439,,,,,,,0.06176689267158508,,,
5,1449,,,,,,,0.07295785844326019,,,
5,1459,,,,,,,0.057785533368587494,,,
5,1469,,,,,,,0.06930100917816162,,,
5,1479,,,,,,,0.05855564773082733,,,
5,1489,,,,,,,0.06976967304944992,,,
5,1499,,,,,,,0.054787613451480865,,,
5,1509,,,,,,,0.053212523460388184,,,
5,1519,,,,,,,0.08005096763372421,,,
5,1529,,,,,,,0.07594478130340576,,,
5,1539,,,,,,,0.07014726102352142,,,
5,1547,,,,,,,,0.9557378888130188,0.9160552024841309,0.15867170691490173
5,1547,,,,0.975540041923523,0.9524826407432556,0.08056378364562988,,,,
6,1549,,,,,,,0.1017901599407196,,,
